,Condominio,Aluguel,IPTU,Seguro Incendio,Total,Cidade,Area
2704,"R$1,700","R$4,320",R$142,R$65,"R$6,227",1,320
2705,"R$2,500","R$3,200",R$579,R$41,"R$6,320",1,126
2706,"R$4,800","R$10,000","R$1,917",R$127,"R$16,840",1,353
2707,R$340,"R$1,890",R$30,R$24,"R$2,284",1,35
2708,R$730,"R$2,100",R$38,R$27,"R$2,895",1,52
2709,"R$2,700","R$7,700","R$1,305",R$98,"R$11,800",1,190
2710,"R$1,440","R$7,700",R$351,R$98,"R$9,589",1,89
2711,R$0,"R$1,300",R$0,R$17,"R$1,317",1,49
2712,R$550,"R$3,800",R$309,R$49,"R$4,708",1,133
2713,"R$1,300","R$5,500",R$834,R$70,"R$7,704",1,150
2714,R$0,"R$9,000",R$998,R$136,"R$10,130",1,400
2715,"R$6,500","R$15,000","R$2,084",R$191,"R$23,780",1,480
2716,"R$1,205","R$3,800",R$155,R$49,"R$5,209",1,90
2717,R$0,"R$1,950",R$125,R$30,"R$2,105",1,90
2718,"R$5,096","R$10,000",R$0,R$127,"R$15,220",1,450
2719,R$890,"R$3,100",R$90,R$40,"R$4,120",1,80
2720,R$480,"R$1,510",R$0,R$20,"R$2,010",1,48
2721,R$907,R$680,R$79,R$9,"R$1,675",0,55
2722,"R$1,550","R$7,900",R$638,R$101,"R$10,190",1,109
2723,"R$1,200","R$2,070",R$42,R$27,"R$3,339",1,100
2724,"R$2,600","R$7,500",R$834,R$96,"R$11,030",1,185
2725,R$443,"R$1,510",R$0,R$6,"R$1,959",1,45
2726,R$0,"R$8,000",R$478,R$121,"R$8,599",0,308
2727,"R$2,800","R$5,000",R$917,R$64,"R$8,781",1,210
2728,R$825,"R$1,500",R$142,R$20,"R$2,487",0,82
2729,R$0,"R$5,500","R$1,000",R$83,"R$6,583",1,380
2730,R$0,"R$2,600",R$0,R$40,"R$2,640",1,90
2731,"R$2,200","R$4,930",R$809,R$63,"R$8,002",1,220
2732,R$700,"R$3,000",R$141,R$39,"R$3,880",1,45
2733,"R$1,365","R$4,500",R$398,R$58,"R$6,321",1,120
2734,R$359,"R$2,080",R$74,R$27,"R$2,540",0,70
2735,R$450,"R$2,800",R$30,R$36,"R$3,316",1,64
2736,R$750,"R$1,447",R$0,R$19,"R$2,216",1,57
2737,R$363,"R$2,705",Incluso,R$25,"R$3,175",1,45
2738,R$0,"R$2,850",R$475,R$43,"R$3,368",1,160
2739,R$0,"R$1,550",R$0,R$24,"R$1,574",1,55
2740,R$0,R$900,R$59,R$14,R$973,1,50
2741,R$366,"R$1,592",R$0,R$7,"R$1,965",1,60
2742,R$0,"R$2,500",R$0,R$38,"R$2,538",1,140
2743,Sem info,"R$10,000",R$955,R$151,"R$11,110",1,287
2744,R$405,"R$3,050",R$25,R$39,"R$3,519",1,35
2745,"R$1,200","R$5,600",R$275,R$71,"R$7,146",1,108
2746,R$0,"R$14,000","R$2,186",R$211,"R$16,400",1,480
2747,R$382,"R$1,800",R$0,R$23,"R$2,205",1,51
2748,"R$2,600","R$6,000","R$1,067",R$77,"R$9,744",1,290
2749,Incluso,"R$2,500",R$421,R$38,"R$2,959",1,130
2750,R$200,"R$2,000",R$9,R$26,"R$2,235",0,55
2751,Incluso,"R$1,550",R$0,R$20,"R$1,570",1,35
2752,R$0,"R$1,300",R$100,R$20,"R$1,420",1,50
2753,"R$1,411","R$3,310",R$235,R$42,"R$4,998",0,129
2754,R$600,"R$2,067",R$0,R$21,"R$2,716",1,46
2755,"R$1,137","R$4,800",R$513,R$61,"R$6,511",1,228
2756,"R$2,100","R$2,400",R$184,R$31,"R$4,715",1,131
2757,R$300,R$500,R$10,R$7,R$817,0,36
2758,"R$1,766","R$5,800",R$279,R$74,"R$7,919",1,122
2759,R$400,"R$1,900",R$0,R$25,"R$2,325",1,100
2760,R$0,"R$3,500",R$642,R$53,"R$4,195",1,100
2761,"R$3,700","R$13,500","R$1,000",R$172,"R$18,370",1,240
2762,R$460,"R$2,700",R$40,R$35,"R$3,235",1,36
2763,R$400,"R$1,600",R$0,R$21,"R$2,021",1,85
2764,R$0,"R$5,000",R$472,R$76,"R$5,548",1,223
2765,R$0,"R$2,255",R$0,R$34,"R$2,289",1,195
2766,R$860,"R$6,500",R$110,R$83,"R$7,553",1,170
2767,"R$2,000","R$4,800",R$500,R$61,"R$7,361",1,180
2768,R$300,R$900,R$40,R$12,"R$1,252",1,22
2769,R$756,"R$2,999",R$200,R$38,"R$3,993",1,140
2770,R$0,"R$15,000","R$1,234",R$226,"R$16,460",1,350
2771,Incluso,"R$13,500",R$0,R$172,"R$13,670",1,150
2772,R$0,"R$5,500",R$667,R$83,"R$6,250",0,411
2773,"R$2,000","R$15,000","R$1,834",R$226,"R$19,060",0,900
2774,R$543,"R$3,500",R$144,R$45,"R$4,232",1,39
2775,R$0,"R$2,600",R$622,R$40,"R$3,262",1,182
2776,R$0,"R$3,150",R$0,R$48,"R$3,198",1,270
2777,R$593,"R$2,896",R$78,R$37,"R$3,604",1,35
2778,R$0,"R$4,200",R$17,R$54,"R$4,271",1,35
2779,"R$1,130","R$3,600",R$60,R$46,"R$4,836",1,105
2780,R$750,"R$3,600",R$95,R$46,"R$4,491",1,60
2781,"R$3,100","R$4,250",R$625,R$54,"R$8,029",1,180
2782,R$190,R$846,R$0,R$11,"R$1,047",0,42
2783,"R$2,338","R$14,000","R$1,434",R$178,"R$17,950",1,210
2784,"R$2,493","R$5,000",R$750,R$22,"R$8,265",1,170
2785,R$0,"R$10,000",R$0,R$151,"R$10,150",1,230
2786,"R$3,000","R$5,650",R$692,R$72,"R$9,414",1,280
2787,R$0,"R$1,750",R$79,R$23,"R$1,852",1,140
2788,R$960,"R$3,300",R$318,R$42,"R$4,620",1,92
2789,R$0,"R$4,000",R$0,R$61,"R$4,061",1,71
2790,"R$2,200","R$10,500",R$505,R$134,"R$13,340",1,160
2791,R$840,"R$2,288",R$0,R$10,"R$3,138",1,92
2792,R$0,"R$11,500","R$5,500",R$173,"R$17,170",1,500
2793,"R$2,000","R$9,000",R$834,R$115,"R$11,950",1,270
2794,"R$4,300","R$12,900","R$2,105",R$164,"R$19,470",1,296
2795,R$860,"R$5,852",R$520,R$75,"R$7,307",1,151
2796,"R$4,780","R$15,000","R$1,917",R$191,"R$21,890",1,308
2797,R$800,"R$3,500",R$200,R$45,"R$4,545",1,50
2798,R$400,"R$1,000",R$0,R$13,"R$1,413",1,60
2799,R$20,"R$1,200",R$25,R$19,"R$1,264",1,25
2800,Incluso,"R$4,500",R$0,R$68,"R$4,568",1,120
2801,R$400,R$600,R$15,R$8,"R$1,023",0,42
2802,R$800,"R$2,900",R$275,R$37,"R$4,012",1,97
2803,"R$1,217","R$3,600",R$215,R$46,"R$5,078",1,110
2804,R$340,"R$1,400",R$57,R$18,"R$1,815",0,56
2805,"R$1,882","R$3,000",R$190,R$39,"R$5,111",1,140
2806,R$680,"R$3,000",R$67,R$39,"R$3,786",1,84
2807,R$169,"R$2,625",R$84,R$34,"R$2,912",1,31
2808,R$0,"R$1,000",R$34,R$16,"R$1,050",1,60
2809,"R$1,800","R$9,000",R$334,R$115,"R$11,250",1,146
2810,R$0,"R$2,500",R$274,R$38,"R$2,812",1,90
2811,R$950,"R$1,950",R$213,R$25,"R$3,138",1,65
2812,R$0,"R$1,200",R$67,R$19,"R$1,286",1,80
2813,R$587,"R$4,500",R$150,R$58,"R$5,295",1,22
2814,Sem info,"R$1,120",R$277,R$15,"R$1,412",0,50
2815,R$850,"R$4,500",R$459,R$58,"R$5,867",1,108
2816,R$258,"R$1,029",Incluso,R$17,"R$1,304",1,32
2817,R$299,"R$2,782",R$0,R$11,"R$3,092",1,51
2818,R$500,"R$1,500",R$150,R$20,"R$2,170",1,37
2819,"R$1,200","R$5,100",R$550,R$65,"R$6,915",1,142
2820,"R$2,750","R$5,800","R$1,040",R$74,"R$9,664",1,220
2821,"R$2,902","R$12,000",R$521,R$153,"R$15,580",1,300
2822,R$441,"R$1,150",R$0,R$15,"R$1,606",1,40
2823,"R$1,300","R$3,300",R$167,R$42,"R$4,809",1,45
2824,R$0,R$870,R$0,R$14,R$884,1,22
2825,R$951,"R$1,900",R$205,R$25,"R$3,081",1,78
2826,"R$1,717","R$5,200",R$250,R$66,"R$7,233",1,280
2827,R$0,"R$6,660",R$575,R$101,"R$7,336",1,200
2828,R$514,R$980,R$86,R$13,"R$1,593",0,65
2829,R$0,"R$9,800",R$750,R$148,"R$10,700",1,330
2830,R$900,"R$2,000",R$63,R$26,"R$2,989",1,100
2831,"R$2,035","R$7,500",R$878,R$96,"R$10,510",1,155
2832,"R$1,400","R$6,800",R$0,R$87,"R$8,287",1,180
2833,R$500,"R$2,200",R$35,R$28,"R$2,763",1,46
2834,"R$1,900","R$7,300","R$1,000",R$93,"R$10,290",1,168
2835,"R$1,500","R$4,000",R$217,R$51,"R$5,768",1,140
2836,Sem info,"R$5,000",R$250,R$76,"R$5,326",1,120
2837,R$815,R$808,R$81,R$11,"R$1,715",0,100
2838,R$0,"R$5,000",R$393,R$47,"R$5,440",1,260
2839,Sem info,R$650,R$17,R$10,R$677,1,40
2840,R$800,"R$3,647",R$157,R$47,"R$4,651",1,80
2841,R$0,"R$2,950",R$250,R$45,"R$3,245",1,200
2842,R$980,"R$2,350",R$99,R$30,"R$3,459",1,75
2843,"R$5,420","R$12,750","R$2,779",R$162,"R$21,110",1,360
2844,"R$2,168","R$10,000",R$407,R$127,"R$12,700",1,270
2845,R$0,R$700,R$25,R$11,R$736,0,45
2846,"R$4,500","R$8,500","R$1,250",R$108,"R$14,360",1,177
2847,"R$1,175","R$3,805",R$264,R$49,"R$5,293",0,104
2848,R$590,R$980,R$0,R$13,"R$1,583",1,30
2849,"R$1,050","R$4,500",R$263,R$58,"R$5,871",1,170
2850,R$480,"R$2,300",R$88,R$30,"R$2,898",1,58
2851,R$450,"R$1,350",R$0,R$18,"R$1,818",1,47
2852,R$550,R$650,R$36,R$9,"R$1,245",0,53
2853,R$0,"R$2,450",R$0,R$37,"R$2,487",1,75
2854,R$472,"R$2,200",R$55,R$28,"R$2,755",1,22
2855,R$0,"R$2,000",R$45,R$31,"R$2,076",1,76
2856,R$651,"R$2,300",R$90,R$30,"R$3,071",1,40
2857,"R$3,150","R$10,000","R$1,163",R$127,"R$14,440",1,260
2858,R$450,"R$2,500",R$17,R$32,"R$2,999",1,51
2859,R$450,"R$2,200",R$21,R$28,"R$2,699",1,64
2860,"R$1,500","R$2,200",R$67,R$28,"R$3,795",1,115
2861,R$0,"R$2,200",R$192,R$34,"R$2,426",1,110
2862,"R$1,740","R$2,500",R$340,R$32,"R$4,612",1,140
2863,R$380,"R$1,598",R$0,R$21,"R$1,999",1,45
2864,"R$2,800","R$4,000","R$1,500",R$51,"R$8,351",1,199
2865,"R$1,400","R$6,900",R$342,R$88,"R$8,730",1,180
2866,R$0,"R$2,990",R$22,R$45,"R$3,057",1,113
2867,R$500,"R$1,189",R$75,R$16,"R$1,780",0,75
2868,R$950,"R$2,275",R$584,R$29,"R$3,838",1,93
2869,R$626,"R$1,200",R$0,R$16,"R$1,842",1,68
2870,R$850,"R$4,300",R$84,R$65,"R$5,299",0,200
2871,"R$1,200","R$3,500",R$534,R$45,"R$5,279",1,118
2872,"R$2,500","R$12,000",R$334,R$153,"R$14,990",1,318
2873,Sem info,"R$3,500",R$222,R$53,"R$3,775",1,170
2874,"R$2,200","R$1,700",R$256,R$22,"R$4,178",0,250
2875,R$510,"R$1,100",R$50,R$14,"R$1,674",1,50
2876,R$347,"R$1,500",R$0,R$20,"R$1,867",1,50
2877,R$668,"R$3,500",R$127,R$45,"R$4,340",1,30
2878,R$650,"R$3,500",R$209,R$45,"R$4,404",0,94
2879,R$375,"R$1,850",R$0,R$24,"R$2,249",1,50
2880,"R$2,600","R$3,800",R$857,R$49,"R$7,306",1,114
2881,R$526,"R$2,230",R$21,R$29,"R$2,806",1,65
2882,"R$1,970","R$1,720",R$959,R$22,"R$4,671",1,200
2883,R$0,"R$6,000",R$177,R$91,"R$6,268",1,265
2884,R$865,"R$2,000",R$192,R$26,"R$3,083",1,75
2885,R$600,"R$2,400",R$125,R$31,"R$3,156",1,68
2886,Sem info,"R$4,000",R$24,R$61,"R$4,085",1,150
2887,"R$2,204","R$5,960",R$641,R$76,"R$8,881",1,208
2888,R$0,"R$2,700",R$300,R$41,"R$3,041",1,300
2889,"R$7,400","R$5,850","R$1,200",R$75,"R$14,530",0,620
2890,R$990,"R$3,500",R$317,R$45,"R$4,852",1,92
2891,Sem info,"R$4,500",R$250,R$68,"R$4,818",1,200
2892,"R$1,714","R$5,000",R$127,R$64,"R$6,905",1,108
2893,R$0,"R$3,500",R$315,R$53,"R$3,868",1,190
2894,R$870,"R$1,450",R$100,R$19,"R$2,439",0,87
2895,R$800,"R$1,275",R$0,R$17,"R$2,092",1,80
2896,"R$3,260","R$6,000",R$550,R$77,"R$9,887",1,270
2897,"R$1,600","R$4,950",R$264,R$63,"R$6,877",1,170
2898,R$0,"R$4,000",R$500,R$61,"R$4,561",1,198
2899,R$260,R$716,R$12,R$10,R$998,0,55
2900,R$182,"R$1,331",R$0,R$17,"R$1,530",1,34
2901,R$270,"R$1,890",R$0,R$24,"R$2,184",1,50
2902,"R$1,164","R$2,093",R$97,R$27,"R$3,381",1,68
2903,R$0,"R$6,800","R$1,100",R$103,"R$8,003",1,290
2904,R$0,"R$1,050",R$84,R$14,"R$1,148",1,25
2905,"R$2,500","R$2,144",R$834,R$28,"R$5,506",1,240
2906,R$350,"R$1,080",R$57,R$14,"R$1,501",1,43
2907,R$200,"R$4,300",R$12,R$55,"R$4,567",1,150
2908,R$602,"R$1,800",R$130,R$23,"R$2,555",1,20
2909,R$0,"R$1,100",R$9,R$17,"R$1,126",1,48
2910,R$0,"R$3,800",R$130,R$58,"R$3,988",1,130
2911,R$392,"R$2,300",R$84,R$30,"R$2,806",1,36
2912,Sem info,"R$1,560",R$225,R$24,"R$1,809",1,90
2913,R$277,"R$2,100",R$104,R$27,"R$2,508",1,49
2914,R$270,R$870,R$9,R$12,"R$1,161",0,70
2915,"R$3,500","R$7,450",R$0,R$95,"R$11,050",1,315
2916,"R$2,200","R$7,000","R$1,500",R$89,"R$10,790",1,270
2917,R$880,"R$5,700",R$123,R$73,"R$6,776",1,75
2918,"R$1,374","R$2,100",R$283,R$27,"R$3,784",1,80
2919,R$0,"R$2,700",R$239,R$41,"R$2,980",0,233
2920,R$350,"R$1,840",R$40,R$24,"R$2,254",1,40
2921,"R$1,800","R$11,000",R$417,R$140,"R$13,360",1,107
2922,R$765,"R$2,650",R$25,R$34,"R$3,474",1,50
2923,"R$1,000","R$3,000",R$50,R$39,"R$4,089",1,113
2924,R$730,"R$3,000",R$59,R$39,"R$3,828",0,52
2925,"R$4,000","R$1,440",R$834,R$19,"R$6,293",1,170
2926,"R$2,420","R$2,580","R$1,000",R$33,"R$6,033",1,140
2927,R$497,"R$2,800",R$81,R$36,"R$3,414",1,34
2928,"R$1,100","R$2,450",R$117,R$32,"R$3,699",1,90
2929,"R$1,800","R$5,500",R$209,R$70,"R$7,579",1,197
2930,R$730,"R$1,620",R$128,R$21,"R$2,499",0,146
2931,Sem info,"R$3,000",R$0,R$39,"R$3,039",1,30
2932,R$0,"R$3,800",R$52,R$58,"R$3,910",1,132
2933,"R$1,600","R$1,800",R$177,R$23,"R$3,600",1,45
2934,R$931,"R$2,700",R$0,R$35,"R$3,666",1,80
2935,R$0,"R$3,600",R$300,R$46,"R$3,946",1,161
2936,"R$7,000","R$4,180","R$1,834",R$53,"R$13,070",1,300
2937,"R$4,187","R$15,000","R$1,450",R$191,"R$20,830",1,450
2938,"R$1,661","R$3,616",R$209,R$13,"R$5,499",1,112
2939,"R$2,800","R$15,000",R$90,R$191,"R$18,080",1,192
2940,R$0,"R$11,000",R$250,R$166,"R$11,420",1,100
2941,R$0,"R$12,000",R$917,R$181,"R$13,100",1,300
2942,R$530,"R$2,800",R$0,R$36,"R$3,366",1,42
2943,R$399,"R$1,480",R$0,R$19,"R$1,898",1,45
2944,"R$2,100","R$10,500",R$167,R$134,"R$12,900",0,245
2945,R$0,"R$1,600",R$192,R$25,"R$1,817",1,60
2946,"R$4,320","R$3,100",R$0,R$40,"R$7,460",1,100
2947,R$0,"R$4,200",R$0,R$64,"R$4,264",0,210
2948,"R$2,000","R$5,000",R$570,R$64,"R$7,634",1,160
2949,R$350,"R$1,600",R$0,R$21,"R$1,971",1,68
2950,R$540,"R$1,100",R$45,R$14,"R$1,699",1,52
2951,Incluso,R$750,R$0,R$12,R$762,1,40
2952,R$0,"R$3,820",R$60,R$58,"R$3,938",1,232
2953,R$560,"R$5,300",R$100,R$68,"R$6,028",1,42
2954,"R$1,650","R$9,000",R$900,R$115,"R$11,670",1,172
2955,R$349,R$500,R$15,R$7,R$871,0,30
2956,R$542,"R$1,750",R$0,R$23,"R$2,315",1,59
2957,R$480,"R$1,722",R$100,R$22,"R$2,324",1,50
2958,R$390,"R$1,450",R$57,R$19,"R$1,916",0,49
2959,"R$2,300","R$10,000",R$719,R$127,"R$13,150",1,216
2960,"R$1,460","R$12,500",R$426,R$159,"R$14,550",1,127
2961,"R$2,850","R$3,000","R$2,488",R$39,"R$8,377",1,226
2962,R$300,R$700,R$100,R$9,"R$1,109",0,76
2963,R$470,"R$1,040",R$30,R$14,"R$1,554",1,50
2964,"R$1,500","R$5,000",R$450,R$64,"R$7,014",1,170
2965,"R$1,439","R$5,500",R$315,R$70,"R$7,324",1,70
2966,"R$1,500","R$2,800",R$542,R$36,"R$4,878",1,167
2967,R$0,"R$13,000","R$1,000",R$196,"R$14,200",1,450
2968,"R$1,000",R$960,R$83,R$13,"R$2,056",0,90
2969,R$879,"R$3,327",R$242,R$43,"R$4,491",1,89
2970,R$550,"R$3,000",R$117,R$39,"R$3,706",1,61
2971,R$0,"R$6,800",R$667,R$103,"R$7,570",1,100
2972,"R$1,850","R$7,000",R$299,R$89,"R$9,238",1,180
2973,R$350,"R$1,700",R$0,R$22,"R$2,072",1,39
2974,R$308,R$850,R$46,R$11,"R$1,215",0,73
2975,R$0,"R$3,400",R$0,R$52,"R$3,452",1,90
2976,"R$2,200","R$12,000",R$642,R$153,"R$15,000",0,231
2977,R$0,"R$9,000","R$1,417",R$136,"R$10,550",1,250
2978,R$602,"R$1,800",R$130,R$23,"R$2,555",1,20
2979,R$0,"R$6,000",R$0,R$91,"R$6,091",0,300
2980,R$150,"R$1,000",R$100,R$13,"R$1,263",1,42
2981,"R$3,000","R$4,000",R$984,R$51,"R$8,035",1,280
2982,R$310,"R$1,800",R$34,R$23,"R$2,167",0,44
2983,R$400,"R$2,600",R$15,R$33,"R$3,048",1,64
2984,"R$2,000","R$7,800",R$550,R$99,"R$10,450",1,218
2985,R$0,"R$2,500",R$194,R$38,"R$2,732",1,140
2986,R$0,"R$2,200",R$110,R$34,"R$2,344",1,86
2987,R$0,"R$2,000",R$88,R$31,"R$2,119",1,100
2988,R$150,R$720,R$0,R$10,R$880,1,50
2989,"R$1,500","R$15,000",R$534,R$191,"R$17,230",1,128
2990,R$695,"R$1,800",R$170,R$23,"R$2,688",1,45
2991,R$0,"R$3,600",R$0,R$55,"R$3,655",1,180
2992,R$0,"R$4,000",R$209,R$61,"R$4,270",1,350
2993,R$500,"R$2,300",R$167,R$30,"R$2,997",1,54
2994,R$647,"R$4,000",R$21,R$51,"R$4,719",1,60
2995,Incluso,"R$2,800",R$291,R$43,"R$3,134",1,200
2996,R$0,"R$7,000",R$645,R$106,"R$7,751",1,520
2997,R$810,"R$3,850",R$98,R$49,"R$4,807",1,112
2998,R$0,"R$7,500",R$267,R$113,"R$7,880",1,104
2999,R$200,"R$1,550",R$167,R$20,"R$1,937",1,90
3000,R$0,"R$2,750",R$215,R$42,"R$3,007",1,273
3001,R$610,"R$1,650",R$0,R$21,"R$2,281",1,74
3002,R$800,"R$1,675",R$50,R$22,"R$2,547",1,40
3003,R$0,"R$2,580",R$0,R$39,"R$2,619",1,120
3004,R$714,"R$1,480",R$55,R$19,"R$2,268",1,60
3005,R$0,R$900,R$21,R$14,R$935,1,50
3006,"R$3,500","R$8,500",R$700,R$108,"R$12,810",0,398
3007,R$965,"R$4,500",R$36,R$58,"R$5,559",1,90
3008,R$970,"R$2,500",R$350,R$32,"R$3,852",1,106
3009,R$380,"R$6,000",R$9,R$77,"R$6,466",1,22
3010,"R$1,814","R$5,500",R$807,R$70,"R$8,191",1,167
3011,"R$1,900","R$9,500",R$500,R$121,"R$12,020",1,250
3012,"R$4,000","R$12,000","R$1,667",R$153,"R$17,820",1,246
3013,R$0,"R$1,094",R$0,R$17,"R$1,111",1,40
3014,R$850,"R$3,000",R$42,R$39,"R$3,931",1,76
3015,"R$4,308","R$12,000","R$1,896",R$153,"R$18,360",1,202
3016,R$568,"R$3,205",Incluso,R$11,"R$3,784",1,60
3017,R$600,"R$3,000",R$80,R$39,"R$3,719",1,65
3018,"R$1,305","R$5,000",R$414,R$64,"R$6,783",1,142
3019,"R$1,300","R$7,000",R$459,R$89,"R$8,848",1,200
3020,R$938,"R$1,940",R$0,R$25,"R$2,903",0,60
3021,R$200,"R$2,200",R$130,R$28,"R$2,558",1,58
3022,R$550,"R$3,000",R$0,R$39,"R$3,589",1,80
3023,"R$2,800","R$6,999",R$643,R$89,"R$10,530",1,201
3024,"R$1,000","R$2,000",R$42,R$26,"R$3,068",1,94
3025,R$0,"R$12,000",R$750,R$181,"R$12,930",1,410
3026,R$784,"R$1,600",R$106,R$21,"R$2,511",0,87
3027,"R$1,600","R$4,000",R$100,R$51,"R$5,751",1,190
3028,R$330,"R$3,000",R$59,R$39,"R$3,428",1,45
3029,"R$2,000","R$10,000",R$990,R$127,"R$13,120",1,254
3030,"R$2,185","R$7,300",R$505,R$93,"R$10,080",1,145
3031,R$470,"R$1,994",R$0,R$26,"R$2,490",1,82
3032,"R$2,600","R$15,000","R$1,167",R$191,"R$18,960",1,360
3033,R$0,"R$1,200",R$35,R$16,"R$1,251",1,25
3034,R$932,"R$2,200",R$226,R$28,"R$3,386",0,145
3035,"R$1,100","R$5,825",R$375,R$24,"R$7,324",1,95
3036,R$450,"R$2,872",R$261,R$20,"R$3,603",1,60
3037,R$415,R$825,R$33,R$11,"R$1,284",0,37
3038,R$372,"R$1,600",R$0,R$21,"R$1,993",1,50
3039,R$0,"R$1,450",R$0,R$22,"R$1,472",1,100
3040,"R$1,787","R$10,850",R$532,R$138,"R$13,310",1,167
3041,R$0,"R$9,000",R$696,R$136,"R$9,832",1,240
3042,R$224,"R$1,530",R$0,R$20,"R$1,774",1,20
3043,R$0,"R$5,500",R$209,R$83,"R$5,792",1,160
3044,"R$1,690","R$5,000",R$309,R$64,"R$7,063",1,100
3045,R$783,"R$2,000",R$24,R$26,"R$2,833",1,63
3046,R$700,"R$1,350",R$150,R$18,"R$2,218",1,73
3047,R$722,"R$2,600",R$198,R$33,"R$3,553",1,67
3048,"R$1,493","R$3,400",R$239,R$44,"R$5,176",1,134
3049,R$0,"R$2,954",R$1,R$45,"R$3,000",1,150
3050,R$0,"R$4,490",R$334,R$68,"R$4,892",1,300
3051,"R$2,000","R$9,000",R$834,R$115,"R$11,950",1,197
3052,R$284,"R$2,000",R$41,R$26,"R$2,351",0,53
3053,R$545,"R$1,274",R$87,R$17,"R$1,923",0,136
3054,"R$1,200","R$3,400",R$0,R$44,"R$4,644",0,150
3055,R$618,"R$2,803",R$192,R$36,"R$3,649",1,40
3056,"R$3,150","R$11,000","R$1,225",R$140,"R$15,520",1,300
3057,R$0,"R$7,200",R$434,R$109,"R$7,743",1,250
3058,R$500,"R$3,000",R$0,R$39,"R$3,539",1,80
3059,"R$1,750","R$11,500",R$479,R$146,"R$13,880",1,109
3060,R$450,R$530,R$10,R$7,R$997,0,47
3061,R$690,"R$1,700",R$113,R$22,"R$2,525",0,72
3062,R$0,"R$1,900",R$101,R$29,"R$2,030",1,35
3063,R$0,"R$2,500",R$334,R$38,"R$2,872",1,200
3064,Sem info,R$790,R$0,R$11,R$801,1,20
3065,R$487,"R$1,300",R$17,R$17,"R$1,821",1,49
3066,R$0,"R$5,150",R$0,R$78,"R$5,228",1,213
3067,"R$1,280","R$4,800",R$138,R$61,"R$6,279",1,110
3068,R$0,R$870,R$0,R$14,R$884,1,40
3069,R$370,"R$1,350",R$0,R$18,"R$1,738",1,38
3070,R$978,"R$2,829",R$0,R$33,"R$3,840",1,40
3071,"R$1,800","R$8,000",R$841,R$102,"R$10,740",1,188
3072,"R$1,100","R$2,107",R$0,R$9,"R$3,216",1,90
3073,"R$3,900","R$9,500",R$880,R$121,"R$14,400",0,415
3074,R$0,"R$4,000",R$632,R$61,"R$4,693",1,500
3075,R$980,"R$3,100",R$180,R$40,"R$4,300",0,135
3076,R$0,"R$2,500",R$608,R$38,"R$3,146",1,130
3077,R$998,"R$2,900",R$220,R$37,"R$4,155",1,90
3078,R$800,"R$5,500",R$199,R$70,"R$6,569",1,79
3079,Sem info,"R$5,000",R$500,R$76,"R$5,576",1,160
3080,R$0,"R$3,000",R$0,R$46,"R$3,046",1,130
3081,"R$3,000","R$9,000",R$834,R$115,"R$12,950",1,256
3082,R$465,"R$1,433",R$0,R$6,"R$1,904",1,70
3083,"R$2,560","R$8,000",R$650,R$102,"R$11,310",1,220
3084,R$250,"R$1,305",R$0,R$17,"R$1,572",1,35
3085,R$760,"R$2,500",R$283,R$32,"R$3,575",1,73
3086,"R$1,680","R$5,000",R$192,R$64,"R$6,936",1,180
3087,R$900,"R$2,450",R$158,R$32,"R$3,540",1,45
3088,R$0,"R$3,800",R$567,R$58,"R$4,425",1,260
3089,R$100,"R$1,400",R$0,R$18,"R$1,518",1,44
3090,R$700,"R$3,500",R$160,R$45,"R$4,405",1,60
3091,"R$1,250","R$7,500",R$292,R$29,"R$9,071",1,101
3092,Incluso,"R$1,650",R$0,R$21,"R$1,671",1,28
3093,R$473,"R$2,500",R$0,R$12,"R$2,985",1,38
3094,R$885,"R$1,800",R$113,R$23,"R$2,821",0,103
3095,"R$1,500","R$4,500",R$417,R$58,"R$6,475",1,126
3096,R$800,"R$2,800",R$67,R$36,"R$3,703",1,70
3097,R$0,"R$1,062",R$1,R$16,"R$1,079",1,60
3098,R$357,"R$1,250",R$51,R$16,"R$1,674",0,80
3099,R$600,"R$2,600",R$253,R$33,"R$3,486",1,97
3100,R$0,"R$9,000",R$430,R$136,"R$9,566",1,287
3101,"R$2,600","R$10,000",R$834,R$127,"R$13,560",1,300
3102,R$0,"R$10,200","R$2,375",R$154,"R$12,730",1,470
3103,R$0,"R$3,000",R$0,R$46,"R$3,046",1,70
3104,"R$4,778","R$6,000","R$2,417",R$77,"R$13,270",1,320
3105,R$500,"R$3,223",R$100,R$41,"R$3,864",1,50
3106,R$470,R$700,R$39,R$9,"R$1,218",0,70
3107,"R$6,000","R$15,000","R$2,500",R$191,"R$23,690",1,380
3108,"R$1,570","R$2,800",R$648,R$36,"R$5,054",1,170
3109,R$408,"R$1,700",R$35,R$22,"R$2,165",1,55
3110,Incluso,"R$3,800",R$270,R$58,"R$4,128",1,100
3111,"R$1,100","R$4,075",R$331,R$19,"R$5,525",1,160
3112,"R$3,000","R$7,000","R$1,396",R$89,"R$11,490",1,240
3113,"R$1,700","R$7,000",R$450,R$89,"R$9,239",1,180
3114,"R$1,700","R$7,600",R$206,R$97,"R$9,603",1,150
3115,R$508,"R$1,606",R$97,R$6,"R$2,217",1,49
3116,"R$1,600","R$5,500",R$247,R$70,"R$7,417",1,125
3117,R$801,"R$1,300",R$0,R$17,"R$2,118",1,59
3118,"R$2,860","R$6,600",R$555,R$84,"R$10,100",1,145
